r1,r2,fhd
19,71,0.49
19,72,0.4725
19,73,0.465
19,74,0.4725
19,75,0.51
19,76,0.455
19,77,0.485
19,78,0.4625
20,0,0.455
20,1,0.49
20,2,0.4875
20,3,0.48
20,4,0.515
20,5,0.4725
20,6,0.4675
20,7,0.5075
20,8,0.515
20,9,0.565
20,10,0.515
20,11,0.485
20,12,0.515
20,13,0.485
20,14,0.54
20,15,0.4825
20,16,0.4975
20,17,0.515
20,18,0.4925
20,19,0.53
20,20,0.0
20,21,0.495
20,22,0.49
20,23,0.525
20,24,0.5075
20,25,0.4625
20,26,0.4975
20,27,0.5275
20,28,0.5175
20,29,0.4575
20,30,0.4975
20,31,0.515
20,32,0.505
20,33,0.5025
20,34,0.4925
20,35,0.54
20,36,0.505
20,37,0.5225
20,38,0.5025
20,39,0.5
20,40,0.5075
20,41,0.54
20,42,0.4925
20,43,0.5175
20,44,0.5075
20,45,0.4975
20,46,0.5
20,47,0.495
20,48,0.5475
20,49,0.4775
20,50,0.495
20,51,0.4825
20,52,0.52
20,53,0.4875
20,54,0.485
20,55,0.5175
20,56,0.47
20,57,0.4525
20,58,0.535
20,59,0.5325
20,60,0.47
20,61,0.4925
20,62,0.46
